Temporada;Jugador_CodigoFBRef;Jugador;Equipo_CodigoFBRef;Pais_Codigo;Delantero;Fecha;Dia;Ronda;Sedes;Resultado;Equipo;Adversario;Arranque_Partido_Capitan;Posicion_Jugador;Monitos_Jugados;Rendimiento_GolesMarcados;Rendimiento_Asistencias;Rendimiento_TirosPenalesEjecutados;Rendimiento_TirosPenalesIntentados;Rendimiento_TotalDisparos;Rendimiento_LanzamientoEnObjetivo;Rendimiento_TarjetasAmarillas;Rendimiento_TarjetasRojas;Rendimiento_Toques;Rendimiento_Derribos;Rendimiento_Intercepciones;Rendimiento_Bloqueos;Expectativa_GolesEsperados;Expectativa_GolesEsperadosSinPenaltis;Expectativa_GolesEsperadosConAsistencia;AccionesParaCreacionDeTiros;AccionesParaCreacionDeGoles;PasesCompletados;PasesIntentados;PorcentajeCumplimientoDePases;PasesProgresivos;TransporteVecesControlaBalon;TransporteAcarreosProgresivos;TomasIntentadasEnfrentadoDefensor;TomasExitosasEnfrentando
2021-2022;dc008610;Florin Andone;ee7c297c;ROU;SI;2022-02-28;Lun;Semana 26 de partido;Visitante;E 0–0;Cádiz;Granada;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2021-08-27;Vie;Semana 3 de partido;Local;V 3–0;Valencia;Alavés;No;FW;23;0;0;0;0;1;1;0;0;8;0;0;0;0.2;0.2;0.0;1;0;4;5;80.0;1;5;2;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2021-09-12;Dom;Semana 4 de partido;Visitante;V 4–1;Valencia;Osasuna;No;FW;4;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0;0;2;2;100.0;0;0;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2021-09-19;Dom;Semana 5 de partido;Local;D 1–2;Valencia;Real Madrid;No;FW,LM;12;0;0;0;0;0;0;0;0;3;1;0;0;0.0;0.0;0.0;0;0;2;2;100.0;0;1;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2021-09-22;Mié;Semana 6 de partido;Visitante;D 1–3;Valencia;Sevilla;No;LM,FW;24;0;0;0;0;1;1;0;0;15;1;0;1;0.0;0.0;0.0;0;0;6;10;60.0;1;10;1;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2021-09-25;Sáb;Semana 7 de partido;Local;E 1–1;Valencia;Athletic Club;No;FW;21;1;0;0;0;2;1;0;0;7;0;0;0;0.5;0.5;0.0;0;0;3;4;75.0;1;8;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2021-10-02;Sáb;Semana 8 de partido;Visitante;E 0–0;Valencia;Cádiz;Sí;FW;84;0;0;0;0;4;0;0;0;29;1;0;0;0.5;0.5;0.0;2;0;11;16;68.8;1;19;1;4;1
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2021-10-17;Dom;Semana 9 de partido;Visitante;D 1–3;Valencia;Barcelona;No;FW,AM,RM;32;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.0;1;0;5;9;55.6;0;8;0;0;0
2021-2022;dc008610;Florin Andone;ee7c297c;ROU;SI;2022-05-07;Sáb;Semana 35 de partido;Local;V 3–0;Cádiz;Elche;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;5c2b4f07;Serge Aurier;2a8183b3;CIV;NO;2022-04-09;Sáb;Semana 31 de partido;Local;E 1–1;Villarreal;Athletic Club;Sí;CB,RB;90;0;0;0;0;0;0;0;0;102;2;2;2;0.0;0.0;0.0;0;0;87;94;92.6;3;64;0;0;0
2021-2022;253a06b9;Ezequiel Ávila;03c57e2b;ARG;SI;2021-11-20;Sáb;Semana 14 de partido;Visitante;D 0–1;Osasuna;Atlético Madrid;Sí;FW;65;0;0;0;0;1;0;0;0;22;0;3;0;0.2;0.2;0.1;1;0;8;17;47.1;1;11;2;0;0
2021-2022;253a06b9;Ezequiel Ávila;03c57e2b;ARG;SI;2022-04-03;Dom;Semana 30 de partido;Visitante;D 1–4;Osasuna;Betis;Sí;RW,RM,FW;90;0;0;0;0;2;0;1;0;35;0;0;0;0.1;0.1;0.0;3;0;16;29;55.2;2;23;0;2;1
2021-2022;253a06b9;Ezequiel Ávila;03c57e2b;ARG;SI;2022-05-15;Dom;Semana 37 de partido;Visitante;D 0–2;Osasuna;Athletic Club;Sí;FW;45;0;0;0;0;1;0;0;0;16;0;1;0;0.0;0.0;0.0;0;0;3;11;27.3;2;8;0;0;0
2021-2022;bfd381b3;Iddrisu Baba;2aa12281;GHA;NO;2021-09-11;Sáb;Semana 4 de partido;Visitante;D 0–2;Mallorca;Athletic Club;Sí;DM;72;0;0;0;0;1;0;1;0;39;2;0;1;0.0;0.0;0.0;2;0;23;29;79.3;5;22;1;2;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-08-28;Sáb;Semana 3 de partido;Visitante;V 1–0;Athletic Club;Celta Vigo;Sí;LB;90;0;0;0;0;0;0;0;0;51;0;1;2;0.0;0.0;0.1;1;0;27;42;64.3;2;16;0;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2021-10-23;Sáb;Semana 10 de partido;Local;V 2–1;Athletic Club;Villarreal;Sí;LB;90;0;0;0;0;0;0;0;0;47;2;2;0;0.0;0.0;0.0;0;0;35;39;89.7;3;22;1;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-02-07;Lun;Semana 23 de partido;Local;V 2–1;Athletic Club;Espanyol;Sí*;LB;90;0;0;0;0;0;0;0;0;50;2;1;1;0.0;0.0;0.0;0;0;29;40;72.5;4;20;1;0;0
2021-2022;1fe67e86;Mikel Balenziaga;2b390eca;ESP;NO;2022-03-13;Dom;Semana 28 de partido;Visitante;D 0–1;Athletic Club;Betis;No;LB;33;0;0;0;0;0;0;0;0;24;0;1;1;0.0;0.0;0.0;0;0;15;20;75.0;0;11;1;0;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-09-21;Mar;Semana 6 de partido;Visitante;V 2–1;Rayo Vallecano;Athletic Club;Sí;RB;90;0;0;0;0;0;0;0;0;71;2;1;0;0.0;0.0;0.0;2;0;49;65;75.4;5;34;1;1;0
2021-2022;dc008610;Florin Andone;ee7c297c;ROU;SI;2022-05-12;Jue;Semana 36 de partido;Visitante;D 0–3;Cádiz;Real Sociedad;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;bfd381b3;Iddrisu Baba;2aa12281;GHA;NO;2021-12-10;Vie;Semana 17 de partido;Local;E 0–0;Mallorca;Celta Vigo;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-11-06;Sáb;Semana 13 de partido;Visitante;D 1–2;Rayo Vallecano;Real Madrid;Sí;RB;90;0;0;0;0;1;0;1;0;57;3;1;1;0.1;0.1;0.1;5;0;38;50;76.0;2;28;3;1;1
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2021-12-12;Dom;Semana 17 de partido;Visitante;D 0–2;Rayo Vallecano;Villarreal;Sí;RB;90;0;0;0;0;0;0;0;0;64;2;0;4;0.0;0.0;0.1;2;0;43;58;74.1;5;22;4;0;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-01-23;Dom;Semana 22 de partido;Local;D 0–1;Rayo Vallecano;Athletic Club;Sí;RB;90;0;0;0;0;1;0;0;0;78;1;0;0;0.0;0.0;0.1;8;0;58;72;80.6;3;30;0;1;1
2021-2022;dc008610;Florin Andone;ee7c297c;ROU;SI;2022-05-15;Dom;Semana 37 de partido;Local;E 1–1;Cádiz;Real Madrid;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;bfd381b3;Iddrisu Baba;2aa12281;GHA;NO;2022-05-01;Dom;Semana 34 de partido;Visitante;D 1–2;Mallorca;Barcelona;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-02-26;Sáb;Semana 26 de partido;Local;D 0–1;Rayo Vallecano;Real Madrid;Sí;RB;90;0;0;0;0;0;0;1;0;52;1;1;0;0.0;0.0;0.3;6;0;36;41;87.8;7;29;3;2;0
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-04-03;Dom;Semana 30 de partido;Visitante;E 2–2;Rayo Vallecano;Granada;Sí;RB;90;0;0;0;0;0;0;0;0;55;3;1;2;0.0;0.0;0.3;2;0;30;42;71.4;1;21;1;1;1
2021-2022;cee88597;Iván Balliu;98e8af82;ALB;NO;2022-05-15;Dom;Semana 37 de partido;Visitante;D 1–2;Rayo Vallecano;Mallorca;Sí;RB;90;0;0;0;0;1;0;0;0;75;2;1;3;0.0;0.0;0.1;3;0;51;62;82.3;3;39;2;0;0
2021-2022;dc008610;Florin Andone;ee7c297c;ROU;SI;2022-05-22;Dom;Semana 38 de partido;Visitante;V 1–0;Cádiz;Alavés;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;bfd381b3;Iddrisu Baba;2aa12281;GHA;NO;2022-05-11;Mié;Semana 36 de partido;Visitante;E 0–0;Mallorca;Sevilla;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;cac2537b;Enis Bardhi;9800b6a1;MKD;SI;2021-10-28;Jue;Semana 11 de partido;Local;E 2–2;Levante;Atlético Madrid;Sí;CM,LM;90;2;0;2;2;1;0;0;0;46;1;2;1;1.6;0.0;0.2;7;0;24;35;68.6;5;25;1;3;2
2021-2022;cac2537b;Enis Bardhi;9800b6a1;MKD;SI;2022-02-16;Mié;Semana 21 de partido;Visitante;V 1–0;Levante;Atlético Madrid;Sí;CM;61;0;0;0;0;0;0;0;0;47;1;1;1;0.0;0.0;0.0;0;0;24;34;70.6;4;25;0;3;3
2021-2022;03049c8c;Keidi Bare;a8661628;ALB;NO;2021-12-05;Dom;Semana 16 de partido;Visitante;D 0–1;Espanyol;Rayo Vallecano;Sí;DM;60;0;0;0;0;0;0;0;0;35;3;0;1;0.0;0.0;0.0;1;0;28;32;87.5;3;19;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-01-22;Sáb;Semana 22 de partido;Visitante;D 2–3;Valencia;Atlético Madrid;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-02-06;Dom;Semana 23 de partido;Local;E 0–0;Valencia;Real Sociedad;No;FW;10;0;0;0;0;0;0;0;0;5;0;0;0;0.0;0.0;0.1;1;0;3;3;100.0;1;3;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-02-13;Dom;Semana 24 de partido;Visitante;D 1–2;Valencia;Alavés;Sí;FW;45;0;0;0;0;2;1;0;0;13;1;0;0;0.2;0.2;0.0;0;0;4;7;57.1;1;5;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-02-20;Dom;Semana 25 de partido;Local;D 1–4;Valencia;Barcelona;No;RM;6;0;0;0;0;0;0;0;0;7;0;0;0;0.0;0.0;0.0;0;0;1;3;33.3;0;4;1;1;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-02-26;Sáb;Semana 26 de partido;Visitante;V 1–0;Valencia;Mallorca;No;CM,LM;1;0;0;0;0;0;0;0;0;4;0;1;0;0.0;0.0;0.0;0;0;1;2;50.0;0;3;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-03-05;Sáb;Semana 27 de partido;Local;V 3–1;Valencia;Granada;Sí;LW,FW;85;0;0;0;0;3;0;1;0;33;1;1;3;0.3;0.3;0.0;2;0;11;16;68.8;3;17;3;2;1
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-03-12;Sáb;Semana 28 de partido;Visitante;E 0–0;Valencia;Getafe;No;AM;1;0;0;0;0;0;0;0;0;3;0;0;0;0.0;0.0;0.0;0;0;0;3;0.0;0;0;0;0;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-04-11;Lun;Semana 31 de partido;Visitante;E 1–1;Valencia;Rayo Vallecano;No;LM,FW;45;0;0;0;0;0;0;1;0;16;1;0;2;0.0;0.0;0.0;0;0;1;6;16.7;1;5;0;2;0
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-04-16;Sáb;Semana 32 de partido;Local;D 1–2;Valencia;Osasuna;No;FW;26;0;0;0;0;0;0;0;0;6;0;0;0;0.0;0.0;0.0;0;0;2;4;50.0;1;4;0;3;1
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-04-19;Mar;Semana 33 de partido;Visitante;D 0–2;Valencia;Villarreal;Sí;FW;90;0;0;0;0;2;0;1;0;28;5;0;1;0.1;0.1;0.0;0;0;10;17;58.8;0;21;3;3;1
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-05-14;Sáb;Semana 37 de partido;Visitante;E 1–1;Valencia;Espanyol;Sí;FW;73;0;0;0;0;4;1;0;0;25;0;1;2;0.1;0.1;0.0;4;0;11;12;91.7;0;17;2;7;5
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-05-21;Sáb;Semana 38 de partido;Local;V 2–0;Valencia;Celta Vigo;Sí;FW;67;0;1;0;0;1;0;0;0;18;1;0;0;0.2;0.2;0.7;1;1;5;9;55.6;0;11;1;1;0
2021-2022;3024e383;José Ángel;03c57e2b;ESP;NO;2021-08-23;Lun;Semana 2 de partido;Local;E 0–0;Osasuna;Celta Vigo;No;LB;8;0;0;0;0;0;0;0;0;16;0;1;0;0.0;0.0;0.1;2;0;10;11;90.9;3;6;1;2;1
2021-2022;3024e383;José Ángel;03c57e2b;ESP;NO;2021-08-29;Dom;Semana 3 de partido;Visitante;V 3–2;Osasuna;Cádiz;No;CM;4;0;0;0;0;0;0;0;0;8;0;0;0;0.0;0.0;0.0;0;0;5;8;62.5;1;5;0;1;1
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-04-30;Sáb;Semana 34 de partido;Local;E 1–1;Valencia;Levante;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;ae86d473;Marcos André;dcc91a7b;BRA;SI;2022-05-10;Mar;Semana 36 de partido;Local;D 0–3;Valencia;Betis;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;03049c8c;Keidi Bare;a8661628;ALB;NO;2022-04-17;Dom;Semana 32 de partido;Visitante;D 1–2;Espanyol;Atlético Madrid;Sí;CM;59;0;0;0;0;0;0;0;0;60;2;1;1;0.0;0.0;0.0;1;0;44;51;86.3;3;26;0;0;0
2021-2022;3024e383;José Ángel;03c57e2b;ESP;NO;2021-09-18;Sáb;Semana 5 de partido;Visitante;V 2–0;Osasuna;Alavés;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
